PB1201.3 - MANUTENÇÕES EVOLUTIVAS RELATÓRIOS FINANCEIROS GS3 |***| PB1201.1 - PROV.MANUTENÇÕES EVOLUTIVAS FINANCE |***| {,EVOLUTIVASFINANCE} |***| 2
PB1614.2 - GESTÃO ITO IBM PERNAMBUCO - MISA G&A |***| PB1614.3 - PROV. IBM - GESTÃO DE PROXY - NOV/16 A S |***| {,IBMGESTÃO} |***| 2
NAO ENCONTROU MATCH |***| PB1614.4 - PEP PB1614 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1617.1 - PROV.  DESPESAS ICT 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1617.2 - PROV.  DESPESAS ICT 2017 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1617.3 - PROV.  DESPESAS ICT 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1617.4 - PROV.  DESPESAS ICT 2017 |***| [] |***| 0
PB1617.1 - AMS 24X7 PER NPL |***| PB1617.5 - PROV. AMS 24X7 PER NPL - SAP 2018 |***| {,24X7AMSPERNPL} |***| 4
NAO ENCONTROU MATCH |***| PB1617.6 - PEP PB1617 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1619.1 - PROV. NPO - SERVIÇOS DE OPERAÇÃO FACILIT |***| [] |***| 0
PB1619.2 - GESTÃO FACILITIES - 24X7 |***| PB1619.2 - SERVIÇOS DE OPERAÇÃO FACILITIES |***| {,FACILITIES} |***| 1
PB1619.2 - GESTÃO FACILITIES - 24X7 |***| PB1619.3 - PROV. NPO - GESTÃO FACILITIES - 24X7 JAN |***| {,FACILITIESGESTÃO24X7} |***| 3
NAO ENCONTROU MATCH |***| PB1619.4 - PEP PB1619 |***| [] |***| 0
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.1 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.2 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.3 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.4 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.5 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.6 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.7 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.8 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
PB1623.1 - TRANSFERÊNCIA SG&A - INDUSTRIAL |***| PB1623.9 - RECLASSIFICAÇÃO ICT INDUSTRIAL JAN/18 |***| {,INDUSTRIAL} |***| 1
NAO ENCONTROU MATCH |***| PB1623.10 - PEP PB1623 |***| [] |***| 0
PB1625.2 - IMPRESSÃO ESCRITÓRIO |***| PB1625.1 - PROV. XEROX - SERV. DE IMPRESSÃO  - DEZ/ |***| {,IMPRESSÃO} |***| 1
PB1625.2 - IMPRESSÃO ESCRITÓRIO |***| PB1625.2 - PROV. XEROX - SERV. DE IMPRESSÃO JAN/18 |***| {,IMPRESSÃO} |***| 1
NAO ENCONTROU MATCH |***| PB1625.3 - ALOCAÇÃO IMPRESSAO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1625.4 - TRANSF. XEROX JAN/18 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1625.5 - TRANSF. XEROX JAN/18 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1625.6 - PEP PB1625 |***| [] |***| 0
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.1 - PROV. HP - LEASING - NOV E DEZ/17 |***| {,LEASING} |***| 1
NAO ENCONTROU MATCH |***| PB1630.2 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.3 - ICT LOCAÇÃO ESTAÇÃO DE TRABALHO |***| {,DE} |***| 1
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.4 - ICT LOCAÇÃO ESTAÇÃO DE TRABALHO |***| {,DE} |***| 1
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.5 - ICT LOCAÇÃO ESTAÇÃO DE TRABALHO |***| {,DE} |***| 1
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.6 - ICT LOCAÇÃO ESTAÇÃO DE TRABALHO |***| {,DE} |***| 1
NAO ENCONTROU MATCH |***| PB1630.7 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.8 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.9 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.10 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.11 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.12 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.13 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.14 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1630.15 - 0053700040 - WORKSTATION TECNICOS |***| [] |***| 0
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.16 - LEASING HP REF. JAN/18 |***| {,LEASING} |***| 1
PB1630.4 - LEASING DE COMPUTADORES 2018/2 |***| PB1630.17 - LEASING HP REF. JAN/18 |***| {,LEASING} |***| 1
NAO ENCONTROU MATCH |***| PB1630.18 - PEP PB1630 |***| [] |***| 0
PB1632.1 - GESTÃO ITO IBM PERNAMBUCO - MISA INDUSTRIAL |***| PB1632.1 - VOLUMETRIA DEZ/17 GESTÃO ITO IBM |***| {,ITOGESTÃOIBM} |***| 3
PB1632.1 - GESTÃO ITO IBM PERNAMBUCO - MISA INDUSTRIAL |***| PB1632.2 - VOLUMETRIA DEZ/17 GESTÃO ITO IBM |***| {,ITOGESTÃOIBM} |***| 3
PB1632.1 - GESTÃO ITO IBM PERNAMBUCO - MISA INDUSTRIAL |***| PB1632.3 - BASELINE JAN/18 GESTÃO ITO IBM |***| {,ITOGESTÃOIBM} |***| 3
PB1632.1 - GESTÃO ITO IBM PERNAMBUCO - MISA INDUSTRIAL |***| PB1632.4 - BASELINE JAN/18 GESTÃO ITO IBM |***| {,ITOGESTÃOIBM} |***| 3
PB1632.1 - GESTÃO ITO IBM PERNAMBUCO - MISA INDUSTRIAL |***| PB1632.5 - TRANSF. RECLASSIFICAÇÃO IBM JAN/18 |***| {,IBM} |***| 1
NAO ENCONTROU MATCH |***| PB1632.6 - PEP PB1632 |***| [] |***| 0
NAO EXISTE TM1 |***| PB1653.1 - PROV. HEAD - MANUT. DE HW - 3º TURNO JAN |***| [] |***| 0
NAO EXISTE TM1 |***| PB1653.2 - PROV. N&C - LAN ITO + TRUE-UP 3º T JAN/1 |***| [] |***| 0
NAO EXISTE TM1 |***| PB1653.3 - PROV. N&C - LAN - PROXIMITY FIAPE JAN/18 |***| [] |***| 0
NAO EXISTE TM1 |***| PB1653.4 - PEP PB1653 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.1 - PROV MANUT.SIMDRIVE - 6/12 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.2 - PROV MANUT. MXAM- 5/12 |***| [] |***| 0
PB1716.23 - SIMDIFF |***| PB1716.3 - PROV MANUT. SIMDIFF - 5/12 |***| {,SIMDIFF} |***| 1
PB1716.4 - INCA |***| PB1716.4 - PROV MANUT. INCA COMPLEMENTAR  - 4/8 |***| {,INCA} |***| 1
PB1716.11 - TEST.LAB PE |***| PB1716.5 - PROV MANUT. TEST.LAB PE  - 4/12 |***| {,TEST.LABPE} |***| 2
PB1716.15 - HYPERWORKS (COMPLEMENTAR) |***| PB1716.6 - PROV MANUT. HYPERWORKS (COMPLEMENTAR)  - |***| {,(COMPLEMENTAR)HYPERWORKS} |***| 2
PB1716.28 - PROVETECH (COMPLEMENTAR) |***| PB1716.7 - PROV MANUT. PROVETECH (COMPLEMENTAR) - 4 |***| {,(COMPLEMENTAR)PROVETECH} |***| 2
PB1716.2 - ABAQUS |***| PB1716.8 - PROV MANUT.SW ABAQUS 3/12 |***| {,ABAQUS} |***| 1
PB1716.26 - SYSTEMDESK |***| PB1716.9 - PROV MANUT. SYSTEMDESK - 3/12 |***| {,SYSTEMDESK} |***| 1
NAO ENCONTROU MATCH |***| PB1716.10 - PROV MANUT. METAPOST FIAPE 2/12 |***| [] |***| 0
PB1716.14 - PROVETECH |***| PB1716.11 - PROV MANUT. PROVETECH (COMP)  2/12 |***| {,PROVETECH} |***| 1
PB1716.32 - DA VINCI |***| PB1716.12 - PROV MANUT. DA VINCI  2/12 |***| {,VINCIDA} |***| 2
PB1716.34 - DIAB COMPILER |***| PB1716.13 - PROV MANUT. DIAB COMPILER  2/12 |***| {,DIABCOMPILER} |***| 2
NAO ENCONTROU MATCH |***| PB1716.14 - PROV MANUT. SW OPENLM 12/12 |***| [] |***| 0
PB1716.9 - GT-POWER (COMPLEMENTAR) |***| PB1716.15 - PROV MANUT. GT-POWER (COMPLEMENTAR) - 1/ |***| {,GT-POWER(COMPLEMENTAR)} |***| 2
PB1716.22 - REACTIS |***| PB1716.16 - PROV MANUT. REACTIS - 1/12 |***| {,REACTIS} |***| 1
NAO ENCONTROU MATCH |***| PB1716.17 - RENOVAÇÃO DE LICENÇAS METAPOST FIAPE |***| [] |***| 0
PB1716.12 - IBM - LICENÇA DOORS FAMILY |***| PB1716.18 - 0053700028 - LICENCAS DE USO SOFTWARE - |***| {,LICENCAS} |***| 1
NAO ENCONTROU MATCH |***| PB1716.19 - CONTECS - FAT.2017113001 - PO 61982817 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.20 - IRRF FAT.2017113001 CONTECS PO. 61982817 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.21 - ENSOFT CORP - FAT.2017-10-27-160607 - PO |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.22 - IRRF FAT.2017-10-27-160607 ENSOFT PO. 61 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.23 - ETAS INC - FAT.90328297 - PO 61983240 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.24 - IRRF FAT.90328297 ETAS INC PO. 61983240 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.25 - MODEL - FAT.R2017-254 - PO 61983849 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.26 - IRRF FAT.R2017-254 MODEL PO. 61983849 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.27 - IRRF FAT.21443 OPENLM LTD PO. 61983978 |***| [] |***| 0
PB1716.7 - HYPERWORKS |***| PB1716.28 - RENOVAÇÃO SOFTWARE HYPERWORKS |***| {,HYPERWORKS} |***| 1
PB1716.2 - ABAQUS |***| PB1716.29 - SW ABAQUS |***| {,ABAQUS} |***| 1
NAO ENCONTROU MATCH |***| PB1716.30 - OPENLM LTD - FAT.21443 - PO 61983978 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.31 - 0800004459-ALTAIR ENGINEERING D-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.32 - 0800004459-ALTAIR ENGINEERING D-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.33 - 0800012670-SMARTTECH SERVICOS D-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.34 - 0800012670-SMARTTECH SERVICOS D-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.35 - SW OPENLM - 3/12 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.36 - METAPOST FIAPE - 3/12 |***| [] |***| 0
PB1716.2 - ABAQUS |***| PB1716.37 - SW ABAQUS (FIAPE) - 4/12 |***| {,ABAQUS} |***| 1
PB1716.7 - HYPERWORKS |***| PB1716.38 - SW HYPERWORKS COMP. - 5/12 |***| {,HYPERWORKS} |***| 1
PB1716.4 - INCA |***| PB1716.39 - SW INCA  COMPLEMENTAR - 5/8 |***| {,INCA} |***| 1
PB1716.24 - MXAM |***| PB1716.40 - MXAM - 6/12 |***| {,MXAM} |***| 1
PB1716.23 - SIMDIFF |***| PB1716.41 - SIMDIFF - 6/12 |***| {,SIMDIFF} |***| 1
PB1716.19 - SIMDRIVE |***| PB1716.42 - SIMDRIVE  - 7/12 |***| {,SIMDRIVE} |***| 1
PB1716.3 - GT-POWER |***| PB1716.43 - LIC. SW GT-POWER - 11/12 |***| {,GT-POWER} |***| 1
PB1716.5 - MATLAB |***| PB1716.44 - MANUT./SUP. SW MATLAB - 10/12 |***| {,MATLAB} |***| 1
PB1716.7 - HYPERWORKS |***| PB1716.45 - HYPERWORKS FIAPE - 5/12 |***| {,HYPERWORKS} |***| 1
PB1716.21 - PRODIS.MCD |***| PB1716.46 - PRODIS.MCD - 10/12 |***| {,PRODIS.MCD} |***| 1
PB1716.4 - INCA |***| PB1716.47 - SW INCA  - 13/15 |***| {,INCA} |***| 1
NAO ENCONTROU MATCH |***| PB1716.48 - STAR-CCM FIAPE - 4/12 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1716.49 - MANUTENÇÃO SW PROVETCH - 7/12 |***| [] |***| 0
PB1716.8 - AMLS |***| PB1716.50 - MANUTENÇÃO SW AMLS - 4/12 |***| {,AMLS} |***| 1
NAO ENCONTROU MATCH |***| PB1716.51 - MAINTENANCE_IBM - ELA - 4/12 |***| [] |***| 0
PB1716.2 - ABAQUS |***| PB1716.52 - ABAQUS JAN/18 |***| {,ABAQUS} |***| 1
PB1716.2 - ABAQUS |***| PB1716.53 - ABAQUS JAN/18 |***| {,ABAQUS} |***| 1
NAO ENCONTROU MATCH |***| PB1716.54 - PEP PB1716 |***| [] |***| 0
PB1741.1 - MANUTENÇÃO DISPOSITIVOS DE ACESSO E PONTO |***| PB1741.1 - PROV. HEAD - MANUT. DE HW - ENGENHARIA J |***| {,DE} |***| 1
NAO ENCONTROU MATCH |***| PB1741.2 - PEP PB1741 |***| [] |***| 0
PB1776.2 - OFFICE - ALOCAÇÃO SUPORTE TÉCNICO STEFANINI FLEET |***| PB1776.1 - FLEET MANAGEMENT - NOVO MUNDO |***| {,FLEET} |***| 1
PB1776.2 - OFFICE - ALOCAÇÃO SUPORTE TÉCNICO STEFANINI FLEET |***| PB1776.2 - FLEET MANAGEMENT - PORTO DIGITAL |***| {,FLEET} |***| 1
NAO ENCONTROU MATCH |***| PB1776.3 - 0053700013 - SERVIÇO MANUT EVOLUTIVA - S |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1776.4 - 0053700013 - SERVIÇO MANUT EVOLUTIVA - S |***| [] |***| 0
PB1776.1 - ARMAZENNA - ALOCAÇÃO SUPORTE STEFANINI FLEET |***| PB1776.5 - FLEET MANAGEMENT - ARMAZENNA (ANA CAROL) |***| {,ARMAZENNAFLEET} |***| 2
NAO ENCONTROU MATCH |***| PB1776.6 - 0800002936-STEFANINI CONSULTORI-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1776.7 - 0800002936-STEFANINI CONSULTORI-EM- |***| [] |***| 0
PB1776.1 - ARMAZENNA - ALOCAÇÃO SUPORTE STEFANINI FLEET |***| PB1776.8 - PROV. STEFANINI - FLEET MANAG. ARMAZENNA |***| {,ARMAZENNAFLEETSTEFANINI} |***| 3
PB1776.2 - OFFICE - ALOCAÇÃO SUPORTE TÉCNICO STEFANINI FLEET |***| PB1776.9 - FLEET STEFANINI JAN/18 |***| {,FLEETSTEFANINI} |***| 2
PB1776.2 - OFFICE - ALOCAÇÃO SUPORTE TÉCNICO STEFANINI FLEET |***| PB1776.10 - FLEET STEFANINI JAN/18 |***| {,FLEETSTEFANINI} |***| 2
NAO ENCONTROU MATCH |***| PB1776.11 - PEP PB1776 |***| [] |***| 0
PB1782.2 - GESTÃO MENSAL TELEPRESENSE - TPS E VDCS  - SMARTNET |***| PB1782.1 - PROV. BT - GESTÃO DE TELEPRESENÇA - ENG |***| {,GESTÃO} |***| 1
PB1782.2 - GESTÃO MENSAL TELEPRESENSE - TPS E VDCS  - SMARTNET |***| PB1782.2 - GESTÃO TPS/VDCS-SMNT - 15/14 |***| {,GESTÃO} |***| 1
NAO ENCONTROU MATCH |***| PB1782.3 - PEP PB1782 |***| [] |***| 0
PB1783.2 - WAN - LINK NOVO MUNDO |***| PB1783.1 - PROV. BT - WAN - LINK NOVO MUNDO- SET A |***| {,NOVOWANLINK} |***| 3
NAO ENCONTROU MATCH |***| PB1783.2 - PORTA+ROTEADOR PRI MPLS 100 MBPS RECIFE |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.3 - GERENCIAMENTO PRI MPLS 100 MBPS RECIFE |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.4 - PORTA MPLS PRI 30M - SR-6094 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.5 - GERENCIAMENTO MPLS PRI 30M - SR-6094 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.6 - GERENCIAMENTO MPLS PRI 30M - SR-6094 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.7 - GERENCIAMENTO MPLS PRI 30M REC |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.8 - GERENCIAMENTO MPLS SEC 30M REC (MRC 36 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.9 - PORTA MPLS PRI 30M REC |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.10 - ROTEADOR MPLS PRI 30M REC |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.11 - PORTA MPLS SEC 30M REC |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.12 - ROTEADOR MPLS SEC 30M REC |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.13 - 0054600008 - TRANSMISSAO DE DADOS E REDE |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.14 - 0054600008 - TRANSMISSAO DE DADOS E REDE |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1783.15 - 0054600008 - TRANSMISSAO DE DADOS E REDE |***| [] |***| 0
PB1783.2 - WAN - LINK NOVO MUNDO |***| PB1783.16 - PROV. BT - WAN - LINK NM / PD / ARM - JA |***| {,WANLINK} |***| 2
NAO ENCONTROU MATCH |***| PB1783.17 - PEP PB1783 |***| [] |***| 0
PB1814.2 - GESTÃO ITO IBM PERNAMBUCO - MISA ENGENHARIA |***| PB1814.1 - TRANSF. RECLASSIFICAÇÃO IBM JAN/18 |***| {,IBM} |***| 1
NAO ENCONTROU MATCH |***| PB1814.2 - PEP PB1814 |***| [] |***| 0
PB1815.1 - ALM POWERTRAIN |***| PB1815.1 - ALM POWERTRAIN |***| {,ALMPOWERTRAIN} |***| 2
NAO ENCONTROU MATCH |***| PB1815.2 - PEP PB1815 |***| [] |***| 0
PB1823.1 - TRANSFERÊNCIA SG&A - ENGENHARIA |***| PB1823.1 - RECLASSIFICAÇÃO ICT ENGENHARIA JAN18 |***| {,ENGENHARIA} |***| 1
PB1823.1 - TRANSFERÊNCIA SG&A - ENGENHARIA |***| PB1823.2 - RECLASSIFICAÇÃO ICT ENGENHARIA JAN18 |***| {,ENGENHARIA} |***| 1
PB1823.1 - TRANSFERÊNCIA SG&A - ENGENHARIA |***| PB1823.3 - RECLASSIFICAÇÃO ICT ENGENHARIA JAN18 |***| {,ENGENHARIA} |***| 1
PB1823.1 - TRANSFERÊNCIA SG&A - ENGENHARIA |***| PB1823.4 - RECLASSIFICAÇÃO ICT ENGENHARIA JAN18 |***| {,ENGENHARIA} |***| 1
PB1823.1 - TRANSFERÊNCIA SG&A - ENGENHARIA |***| PB1823.5 - RECLASSIFICAÇÃO ICT ENGENHARIA JAN18 |***| {,ENGENHARIA} |***| 1
PB1823.1 - TRANSFERÊNCIA SG&A - ENGENHARIA |***| PB1823.6 - RECLASSIFICAÇÃO ICT ENGENHARIA JAN18 |***| {,ENGENHARIA} |***| 1
NAO ENCONTROU MATCH |***| PB1823.7 - PEP PB1823 |***| [] |***| 0
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.1 - PROV. UNISYS - MANUTENÇÃO SW  E-FORMES - |***| {,MANUTENÇÃOSWE-FORMES} |***| 3
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.2 - PROV. XRT - MANUTENÇÃO SW  XRT - DEZEMBR |***| {,MANUTENÇÃOSWXRT} |***| 3
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.3 - PROV. AD SOLUTIONS - MANUTENÇÃO SW ADTRA |***| {,MANUTENÇÃOSW} |***| 2
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.4 - ALOCAÇÃO DE SOFTWARE E-FORMES |***| {,E-FORMESSOFTWARE} |***| 2
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.5 - SISTEMA XRT |***| {,XRT} |***| 1
NAO ENCONTROU MATCH |***| PB1202.6 - 0800029311-UNISYS BRASIL LTDA-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1202.7 - 0800029311-UNISYS BRASIL LTDA-EM- |***| [] |***| 0
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.8 - 0800008044-SAGE XRT BRASIL LTDA-EM- |***| {,XRT} |***| 1
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.9 - 0800008044-SAGE XRT BRASIL LTDA-EM- |***| {,XRT} |***| 1
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.10 - PROV. AD SOLUTIONS - MANUTENÇÃO SW ADTRA |***| {,MANUTENÇÃOSW} |***| 2
PB1202.2 - MANUTENÇÃO SOFTWARE E-FORMS (NFE) |***| PB1202.11 - PROV. UNISYS - MANUTENÇÃO SW  E-FORMES - |***| {,MANUTENÇÃOSWE-FORMES} |***| 3
PB1202.3 - MANUTENÇÃO SOFTWARE XRT |***| PB1202.12 - PROV. SAGE (XRT)  - MANUTENÇÃO SW  XRT - |***| {,MANUTENÇÃOSWXRT} |***| 3
NAO ENCONTROU MATCH |***| PB1202.13 - PEP PB1202 |***| [] |***| 0
PB1203.2 - AMS  ZOOM |***| PB1203.2 - PROV. TECHEDGE - AMS ZOOM |***| {,AMSZOOM} |***| 2
PB1203.4 - AMS APLICATIVOS FOX PRO |***| PB1203.3 - PROV. BHFOX - AMS APLICATIVOS FOX PRO - |***| {,AMSFOXPROAPLICATIVOS} |***| 4
PB1203.5 - TCC ESSBASE HYPERION |***| PB1203.4 - PROV. TECHEDGE - TCC ESSBASE HYPERION - |***| {,HYPERIONTCCESSBASE} |***| 3
PB1203.1 - AMS  XRT |***| PB1203.5 - PROV. SAGE - AMS XRT - JANEIRO/18 |***| {,XRTAMS} |***| 2
NAO ENCONTROU MATCH |***| PB1203.6 - APP_PFS__SUPORTE ANA. FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.7 - APP_PFS__SUPORTE ANA. FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.8 - GESTÃO MENSAL BHFOX - JAN/FEV 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.9 - APP_PFS__SUPORTE ANA. FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.10 - APP_PFS__SUPORTE ANA. FINANÇAS |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.11 - 0800031610-SQUADRA TECNOLOGIA S-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.12 - 0800031610-SQUADRA TECNOLOGIA S-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.13 - 0800031610-SQUADRA TECNOLOGIA S-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.14 - 0800031610-SQUADRA TECNOLOGIA S-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.15 - 0800031610-SQUADRA TECNOLOGIA S-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.16 - 0800031610-SQUADRA TECNOLOGIA S-EM- |***| [] |***| 0
PB1203.4 - AMS APLICATIVOS FOX PRO |***| PB1203.17 - 0800004336-BH FOX INFORMATICA L-EM- |***| {,FOX} |***| 1
PB1203.4 - AMS APLICATIVOS FOX PRO |***| PB1203.18 - 0800004336-BH FOX INFORMATICA L-EM- |***| {,FOX} |***| 1
NAO ENCONTROU MATCH |***| PB1203.19 - 0800002936-STEFANINI CONSULTORI-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.20 - 0800002936-STEFANINI CONSULTORI-EM- |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.21 - PROV. KEEPTRUE (AVALARA) - A M S MANUTEN |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1203.22 - PROV. STEFANINI - SISTEMAS FINANCE - REF |***| [] |***| 0
PB1203.2 - AMS  ZOOM |***| PB1203.23 - PROV. TECHEDGE - AMS ZOOM |***| {,AMSZOOM} |***| 2
PB1203.5 - TCC ESSBASE HYPERION |***| PB1203.24 - PROV. TECHEDGE - TCC ESSBASE HYPERION - |***| {,HYPERIONTCCESSBASE} |***| 3
PB1203.1 - AMS  XRT |***| PB1203.25 - PROV. SAGE (XRT)  - AMS XRT - REF. JANEI |***| {,XRTAMS} |***| 3
NAO ENCONTROU MATCH |***| PB1203.26 - PEP PB1203 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.3 - PROV.ICT DESP FCA ITA JAN-DEZ 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.4 - PROV.ICT DESP FCA ITA JAN-DEZ 2018 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.6 - PROV.ICT DESP FCA ITA JAN-DEZ 2016 |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.7 - TRANSFERENCIA CAMBIAL FGA ICT |***| [] |***| 0
NAO ENCONTROU MATCH |***| PB1204.8 - PEP PB1204 |***| [] |***| 0
PB1207.3 - MANUTENÇÃO SOFTWARE TRILLIUM |***| PB1207.1 - MANUTENÇÃO SW TRILLIUM - 11/12 |***| {,MANUTENÇÃOTRILLIUMSW} |***| 3
PB1207.2 - SPED - RENOVAÇÃO SW CONNECT |***| PB1207.2 - MANT SW ELA IBM  - 5/12 |***| {,SW} |***| 1
NAO ENCONTROU MATCH |***| PB1207.3 - PEP PB1207 |***| [] |***| 0
